Player,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,HSrank
D.J. Moore,Maryland,Big Ten,JR,WR,12,80,1033,12.9,8,86.1,4
Calvin Ridley,Alabama,SEC,JR,WR,15,63,967,15.3,5,64.5,5
Courtland Sutton,SMU,AAC,JR,WR,13,68,1085,15.9,12,83.5,3
Dante Pettis,Washington,Pac-12,SR,WR,13,63,761,12.1,7,58.5,3
Christian Kirk,Texas A&M,SEC,JR,WR,13,71,919,12.9,10,70.7,5
Anthony Miller,Memphis,AAC,SR,WR,13,96,1462,15.2,18,112.5,2
James Washington,Oklahoma State,Big 12,SR,WR,14,74,1549,20.9,13,110.6,3
DJ Chark,LSU,SEC,SR,WR,13,40,874,21.9,3,67.2,3
Michael Gallup,Colorado State,Mtn West,SR,WR,13,100,1413,14.1,7,108.7,2
Tre'Quan Smith,UCF,AAC,JR,WR,13,59,1171,19.8,13,90.1,3
Keke Coutee,Texas Tech,Big 12,JR,WR,13,93,1429,15.4,10,109.9,3
Antonio Callaway,Florida,SEC,SO,WR,11,54,721,13.4,3,65.5,4
DaeSean Hamilton,Penn State,Big Ten,SR,WR,13,53,857,16.2,9,65.9,3
Jaleel Scott,New Mexico State,Sun Belt,SR,WR,13,76,1039,13.7,8,79.9,2
J'Mon Moore,Missouri,SEC,SR,WR,13,65,1082,16.6,10,83.2,3
Justin Watson,Pennsylvania,Ivy,SR,WR,10,81,1083,13.4,14,108.3,2
Daurice Fountain,Northern Iowa,Missouri Valley,SR,WR,13,66,943,14.3,12,72.5,2
Marquez Valdes-Scantling,South Florida,AAC,SR,WR,12,53,879,16.6,6,73.3,3
Damion Ratley,Texas A&M,SEC,SR,WR,13,30,694,23.1,6,53.4,3
Deon Cain,Clemson,ACC,JR,WR,14,58,734,12.6,6,52.4,4
Ray-Ray McCloud,Clemson,ACC,JR,WR,14,49,503,10.3,1,35.9,4
Russell Gage,LSU,SEC,SR,WR,13,21,285,13.6,3,21.9,3
Equanimeous St. Brown,Notre Dame,Ind,JR,WR,12,33,515,15.6,4,42.9,4
Cedrick Wilson Jr.,Boise State,Mtn West,SR,WR,14,83,1511,18.2,7,107.9,2
Braxton Berrios,Miami (FL),ACC,SR,WR,13,55,679,12.3,9,52.2,3
Javon Wims,Georgia,SEC,SR,WR,15,45,720,16.0,7,48.0,3
Marcell Ateman,Oklahoma State,Big 12,SR,WR,13,59,1156,19.6,8,88.9,3
Richie James,Middle Tennessee,C-USA,JR,WR,5,31,290,9.4,3,58.0,2
Auden Tate,Florida State,ACC,JR,WR,12,40,548,13.7,10,45.7,4
Trey Quinn,SMU,AAC,JR,WR,13,114,1236,10.8,13,95.1,5
