Player,40yd,Vert(in),Bench,Broad(in),3cone,Shuttle
Ja'Marr Chase,4.34,41.0,n/a,132,6.96,3.99
Jaylen Waddle,4.37,34.5,n/a,126,n/a,n/a
DeVonta Smith,4.40,32.0,n/a,120,n/a,n/a
Kadarius Toney,4.39,39.5,n/a,133,n/a,n/a
Rashod Bateman,4.39,36.0,n/a,125,n/a,n/a
Elijah Moore,4.35,36.5,n/a,136,n/a,n/a
Rondale Moore,4.29,42.0,n/a,129,n/a,n/a
D'Wayne Eskridge,4.39,39.0,n/a,128,n/a,n/a
Tutu Atwell,4.32,38.5,n/a,134,n/a,n/a
Terrace Marshall Jr.,4.38,39.5,n/a,125,n/a,n/a
Josh Palmer,4.40,33.0,n/a,121,n/a,n/a
Dyami Brown,4.44,34.0,n/a,126,n/a,n/a
Amari Rodgers,4.52,32.0,n/a,121,n/a,n/a
Nico Collins,4.45,33.0,n/a,125,n/a,n/a
Anthony Schwartz,4.26,40.0,20,135,n/a,n/a
Dez Fitzpatrick,4.45,34.0,n/a,120,n/a,n/a
Amon-Ra St. Brown,4.51,35.0,n/a,123,n/a,n/a
Jaelon Darden,4.50,33.0,n/a,120,n/a,n/a
Tylan Wallace,4.58,33.0,n/a,124,n/a,n/a
Jacob Harris,4.39,35.5,n/a,129,n/a,n/a
Ihmir Smith-Marsette,4.43,36.5,n/a,129,n/a,n/a
Simi Fehoko,4.43,32.0,n/a,124,n/a,n/a
Cornell Powell,4.53,33.0,n/a,124,n/a,n/a
Frank Darby,4.56,n/a,n/a,120,n/a,n/a
Marquez Stevenson,4.42,39.0,n/a,124,n/a,n/a
Shi Smith,4.49,36.0,n/a,123,n/a,n/a
Racey McMath,4.40,33.5,n/a,127,n/a,n/a
Jalen Camp,4.49,n/a,n/a,n/a,n/a,n/a
Seth Williams,4.49,n/a,n/a,n/a,n/a,n/a
Dazz Newsome,4.57,35.0,n/a,123,n/a,n/a
Mike Strachan,4.63,n/a,n/a,n/a,n/a,n/a
Tre Nixon,4.59,n/a,n/a,n/a,n/a,n/a
Ben Skowronek,4.61,n/a,n/a,n/a,n/a,n/a
Kawaan Baker,4.62,n/a,n/a,n/a,n/a,n/a
Dax Milne,4.58,n/a,n/a,n/a,n/a,n/a

xxxxxxxx
needs improvemntt
