Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,nflRec,nflYds,nflTD,nflYears
1,5,CIN,Ja'Marr Chase,WR,21,2024,0,3,3,33,33,51,302,4282,34,4
1,6,MIA,Jaylen Waddle,WR,22,2024,0,0,3,28,28,52,272,3643,18,4
1,10,PHI,DeVonta Smith,WR,22,2024,0,0,3,32,32,54,264,3481,21,4
1,20,NYG,Kadarius Toney,WR,22,2023,0,0,0,7,3,32,82,760,3,3
1,27,BAL,Rashod Bateman,WR,21,2024,0,0,1,11,11,40,110,1440,6,4
2,34,NYJ,Elijah Moore,WR,21,2024,0,0,2,12,7,50,155,1719,8,4
2,49,ARI,Rondale Moore,WR,21,2023,0,0,0,12,12,39,135,1201,3,3
2,56,SEA,D'Wayne Eskridge,WR,24,2024,0,0,0,2,2,26,18,152,1,4
2,57,LAR,Tutu Atwell,WR,21,2024,0,0,1,8,8,42,74,1062,4,4
2,59,CAR,Terrace Marshall Jr.,WR,21,2023,0,0,1,6,6,36,64,767,1,3
3,77,LAC,Josh Palmer,WR,21,2024,0,0,1,13,13,47,152,1811,9,4
3,82,WAS,Dyami Brown,WR,21,2024,0,0,0,3,3,53,37,581,4,4
3,85,GNB,Amari Rodgers,WR,21,2023,0,0,0,2,1,35,20,249,1,3
3,89,HOU,Nico Collins,WR,22,2024,0,0,1,18,18,44,182,2791,14,4
3,91,CLE,Anthony Schwartz,WR,21,2022,0,0,0,2,2,25,14,186,1,2
4,109,TEN,Dez Fitzpatrick,WR,23,2023,0,0,0,0,0,6,5,49,1,3
4,112,DET,Amon-Ra St. Brown,WR,21,2024,1,2,2,35,35,54,346,3877,24,4
4,129,TAM,Jaelon Darden,WR,22,2024,0,0,0,0,0,26,9,75,0,4
4,131,BAL,Tylan Wallace,WR,22,2024,0,0,0,1,1,43,9,98,0,4
4,141,LAR,Jacob Harris,WR,24,2023,0,0,0,0,0,18,1,6,0,3
5,157,MIN,Ihmir Smith-Marsette,WR,22,2024,0,0,0,3,1,37,14,182,2,4
5,179,DAL,Simi Fehoko,WR,23,2024,0,0,0,0,0,21,7,94,1,4
5,181,KAN,Cornell Powell,WR,23,2022,0,0,0,0,0,3,0,0,0,2
6,187,ATL,Frank Darby,WR,23,2023,0,0,0,0,0,16,2,29,0,3
6,203,BUF,Marquez Stevenson,WR,23,2021,0,0,0,0,0,5,0,0,0,1
6,204,CAR,Shi Smith,WR,22,2022,0,0,0,4,4,23,28,400,2,2
6,205,TEN,Racey McMath,WR,22,2022,0,0,0,0,0,14,4,48,0,2
6,209,JAX,Jalen Camp,WR,23,2022,0,0,0,0,,5,1,7,0,2
6,219,DEN,Seth Williams,WR,21,2021,0,0,0,0,0,2,1,34,0,1
6,221,CHI,Dazz Newsome,WR,22,2021,0,0,0,0,0,3,2,23,0,1
7,229,IND,Mike Strachan,WR,24,2023,0,0,0,0,0,23,6,130,0,3
7,242,NWE,Tre Nixon,WR,23,2021,0,0,0,0,0,1,0,0,0,1
7,249,LAR,Ben Skowronek,WR,24,2024,0,0,1,6,6,47,58,575,1,4
7,255,NOR,Kawaan Baker,WR,23,2021,0,0,0,0,0,2,0,0,0,1
7,258,WAS,Dax Milne,WR,22,2022,0,0,0,1,1,28,15,120,1,2
